Index	Name	Wikipedia Link	Postal Code(s)	Demonym(s)	Localities	Neighbours	Elevation
61	Oberglatt	https://en.m.wikipedia.org/wiki/Oberglatt	8154			Bachenbülach, Höri, Niederglatt, Niederhasli, Rümlang, Winkel	431 m (1,414 ft)
64	Lufingen	https://en.m.wikipedia.org/wiki/Lufingen	8426			Embrach, Kloten, Oberembrach, Winkel	459 m (1,506 ft)
65	Oberembrach	https://en.m.wikipedia.org/wiki/Oberembrach	8425			Brütten, Embrach, Kloten, Lufingen, Nürensdorf, Pfungen, Winterthur	459 m (1,506 ft)
66	Pfungen	https://en.m.wikipedia.org/wiki/Pfungen	8422			Dättlikon, Embrach, Neftenbach, Oberembrach, Winterthur	412 m (1,352 ft)
69	Neerach	https://en.m.wikipedia.org/wiki/Neerach	8173			Bachs, Hochfelden, Höri, Niederglatt, Stadel bei Niederglatt, Steinmaur	449 m (1,473 ft)
72	Niederglatt	https://en.m.wikipedia.org/wiki/Niederglatt	8172			Höri, Neerach, Niederhasli, Oberglatt, Steinmaur	411 m (1,348 ft)
74	Kloten	https://en.m.wikipedia.org/wiki/Kloten	8302			Bassersdorf, Dietlikon, Lufingen, Nürensdorf, Oberembrach, Opfikon, Rümlang, Wallisellen, Winkel	446 m (1,463 ft)
77	Rümlang	https://en.m.wikipedia.org/wiki/R%C3%BCmlang	8153			Kloten, Niederhasli, Oberglatt, Opfikon, Regensdorf, Winkel, Zurich	443 m (1,453 ft)
81	Dorf, Switzerland	https://en.m.wikipedia.org/wiki/Dorf,_Switzerland	8458			Andelfingen, Buch am Irchel, Humlikon, Neftenbach, Volken	426 m (1,398 ft)
82	Neftenbach	https://en.m.wikipedia.org/wiki/Neftenbach	8413			Buch am Irchel, Dättlikon, Dorf, Henggart, Hettlingen, Humlikon, Pfungen, Winterthur	415 m (1,362 ft)
87	Bachs	https://en.m.wikipedia.org/wiki/Bachs	8164			Fisibach (AG), Neerach, Oberweningen, Schöfflisdorf, Siglistorf (AG), Stadel bei Niederglatt, Steinmaur, Weiach	470 m (1,540 ft)
89	Fisibach	https://en.m.wikipedia.org/wiki/Fisibach	5467			Bachs (ZH), Hohentengen am Hochrhein (DE-BW), Kaiserstuhl, Oberweningen (ZH), Rümikon, Siglistorf, Weiach (ZH), Wislikofen	378 m (1,240 ft)
90	Kaiserstuhl, Aargau	https://en.m.wikipedia.org/wiki/Kaiserstuhl,_Aargau	5466			Fisibach, Hohentengen am Hochrhein (DE-BW), Weiach (ZH)	347 m (1,138 ft)
96	Adlikon bei Andelfingen	https://en.m.wikipedia.org/wiki/Adlikon	8452			Andelfingen, Dägerlen, Humlikon, Ossingen, Thalheim an der Thur	448 m (1,470 ft)
98	Humlikon	https://en.m.wikipedia.org/wiki/Humlikon	8457			Adlikon, Andelfingen, Dägerlen, Dorf, Henggart, Neftenbach	420 m (1,380 ft)
100	Ossingen	https://en.m.wikipedia.org/wiki/Ossingen	8475			Adlikon, Andelfingen, Kleinandelfingen, Neunforn (TG), Thalheim an der Thur, Trüllikon, Truttikon, Waltalingen	416 m (1,365 ft)
105	Dachsen	https://en.m.wikipedia.org/wiki/Dachsen	8447			Benken, Jestetten (DE-BW), Laufen-Uhwiesen, Rheinau	400 m (1,300 ft)
106	Laufen-Uhwiesen	https://en.m.wikipedia.org/wiki/Laufen-Uhwiesen	8248			Benken, Dachsen, Feuerthalen, Flurlingen, Jestetten (DE-BW), Neuhausen am Rheinfall (SH), Schlatt (TG), Trüllikon	457 m (1,499 ft)
112	Schlatt, Thurgau	https://en.m.wikipedia.org/wiki/Schlatt,_Thurgau	8252			Basadingen-Schlattingen, Büsingen am Hochrhein (DE-BW), Dachsen (ZH), Diessenhofen, Feuerthalen (ZH), Trüllikon (ZH), Truttikon (ZH)	416 m (1,365 ft)
113	Truttikon	https://en.m.wikipedia.org/wiki/Truttikon	8467			Basadingen-Schlattingen (TG), Ossingen, Schlatt (TG), Trüllikon, Waltalingen	465 m (1,526 ft)
115	Niederhasli	https://en.m.wikipedia.org/wiki/Niederhasli	8155			Buchs, Dielsdorf, Niederglatt, Oberglatt, Regensdorf, Rümlang, Steinmaur	418 m (1,371 ft)
119	Brütten	https://en.m.wikipedia.org/wiki/Br%C3%BCtten	8311			Lindau, Nürensdorf, Oberembrach, Winterthur	610 m (2,000 ft)
121	Nürensdorf	https://en.m.wikipedia.org/wiki/N%C3%BCrensdorf	8309			Bassersdorf, Brütten, Kloten, Lindau, Oberembrach	502 m (1,647 ft)
123	Winterthur	https://en.m.wikipedia.org/wiki/Winterthur	8400, 8404, 8405, 8406, 8408, 8409, 8404 Stadel (Winterthur), 8404 Reutlingen (Winterthur), 8310 Kempthal, 8352 Ricketwil (Winterthur), 8482 Sennhof (Winterthur), 8542 Wiesendangen, 8545 Rickenbach Sulz	German: Winterthurer(in)		Brütten, Dinhard, Elsau, Hettlingen, Illnau-Effretikon, Kyburg, Lindau, Neftenbach, Oberembrach, Pfungen, Rickenbach, Schlatt, Seuzach, Wiesendangen, Zell	
128	Steinmaur	https://en.m.wikipedia.org/wiki/Steinmaur	8162			Bachs, Dielsdorf, Neerach, Niederglatt, Niederhasli, Oberweningen, Regensberg, Schöfflisdorf	451 m (1,480 ft)
131	Bassersdorf	https://en.m.wikipedia.org/wiki/Bassersdorf	8303			Dietlikon, Kloten, Lindau, Nürensdorf, Wangen-Brüttisellen	460 m (1,510 ft)
132	Dietlikon	https://en.m.wikipedia.org/wiki/Dietlikon	8305			Bassersdorf, Dübendorf, Kloten, Wallisellen, Wangen-Brüttisellen	445 m (1,460 ft)
134	Opfikon	https://en.m.wikipedia.org/wiki/Opfikon	8152			Kloten, Wallisellen, Zürich, Rümlang	459 m (1,506 ft)
136	Wallisellen	https://en.m.wikipedia.org/wiki/Wallisellen	8304			Dietlikon, Dübendorf, Kloten, Opfikon, Zürich	431 m (1,414 ft)
139	Regensdorf	https://en.m.wikipedia.org/wiki/Regensdorf	8105			Buchs, Dällikon, Niederhasli, Oberengstringen, Rümlang, Unterengstringen, Weiningen, Zürich	443 m (1,453 ft)
140	Zürich	https://en.m.wikipedia.org/wiki/Zurich	8000–8099	German: Zürcher(in)		Adliswil, Dübendorf, Fällanden, Kilchberg, Maur, Oberengstringen, Opfikon, Regensdorf, Rümlang, Schlieren, Stallikon, Uitikon, Urdorf, Wallisellen, Zollikon	
143	Henggart	https://en.m.wikipedia.org/wiki/Henggart	8444			Dägerlen, Hettlingen, Humlikon, Neftenbach	440 m (1,440 ft)
